Car_ID,Make_Model,Category,License_Plate,VIN_Number,Daily_Rate,Current_Mileage,Status,Current_Location_ID,Hub Name,Maintenance_Priority,Revenue_Efficiency
C-01,Toyota Vios,Sedan,51H-123.45,VIN-001,800000,15200,Available,L-001,Sân bay Tân Sơn Nhất,Low Priority,
C-02,Toyota Vios,Sedan,51H-123.46,VIN-002,800000,48500,Rented,L-001,Sân bay Tân Sơn Nhất,Medium Priority,
C-03,Mazda CX-5,SUV,51H-123.47,VIN-003,1200000,8200,Available,L-002,Trụ sở Quận 1,Low Priority,
C-04,Mazda CX-5,SUV,51H-123.48,VIN-004,1200000,55000,Maintenance,L-002,Trụ sở Quận 1,High Priority,
C-05,Mercedes C300,Luxury,51H-123.49,VIN-005,2500000,3400,Available,L-002,Trụ sở Quận 1,Low Priority,
C-06,VinFast Fadil,Hatchback,30G-999.01,VIN-006,600000,22100,Rented,L-003,Chi nhánh Cầu Giấy,Low Priority,
C-07,VinFast Fadil,Hatchback,30G-999.02,VIN-007,600000,12000,Available,L-004,Sân bay Nội Bài,Low Priority,
C-08,Toyota Fortuner,SUV,30G-999.03,VIN-008,1300000,62000,Available,L-004,Sân bay Nội Bài,High Priority,
C-09,Kia Morning,Hatchback,30G-999.04,VIN-009,500000,41000,Rented,L-003,Chi nhánh Cầu Giấy,Medium Priority,
C-10,BMW 320i,Luxury,51H-123.50,VIN-010,2800000,9500,Available,L-002,Trụ sở Quận 1,Low Priority,
C-11,Toyota Vios,Sedan,43A-555.01,VIN-011,800000,18000,Available,L-005,Sân bay Đà Nẵng,Low Priority,
C-12,Mazda CX-5,SUV,43A-555.02,VIN-012,1200000,25000,Available,L-005,Sân bay Đà Nẵng,Low Priority,
C-13,Honda City,Sedan,51H-123.51,VIN-013,850000,32100,Available,L-001,Sân bay Tân Sơn Nhất,Medium Priority,
C-14,Ford Everest,SUV,51H-123.52,VIN-014,1450000,11000,Available,L-001,Sân bay Tân Sơn Nhất,Low Priority,
C-15,Hyundai Accent,Sedan,43A-555.03,VIN-015,750000,42000,Cleaning,L-005,Sân bay Đà Nẵng,Medium Priority,
